City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,Baghmara,23.795,86.2085,81.52,78,91,10.4,IN,2022-07-12 19:54:52
281,Sorland,67.667,12.6934,57.06,95,100,15.12,NO,2022-07-12 19:54:52
282,Estelle,29.8458,-90.1067,93.99,62,0,6.91,US,2022-07-12 19:54:52
283,Fortuna,40.5982,-124.1573,68.94,77,0,4.0,US,2022-07-12 19:54:53
284,Envira,-7.3,-70.2167,81.12,71,100,2.19,BR,2022-07-12 19:54:53
285,El Alto,-4.2714,-81.2147,73.06,72,17,18.88,PE,2022-07-12 19:54:53
286,Abu Samrah,35.3029,37.1841,78.85,54,0,9.4,SY,2022-07-12 19:54:53
287,Ust-Karsk,52.7011,118.8077,56.77,98,100,2.93,RU,2022-07-12 19:54:54
288,Chodavaram,17.8333,82.95,80.44,82,99,7.92,IN,2022-07-12 19:54:54
289,Te Anau,-45.4167,167.7167,38.43,99,100,3.24,NZ,2022-07-12 19:54:54
290,Banda Aceh,5.5577,95.3222,79.75,77,100,13.18,ID,2022-07-12 19:54:55
291,Itarema,-2.9248,-39.9167,80.4,78,82,14.72,BR,2022-07-12 19:54:55
292,Pechory,57.8164,27.6119,63.86,96,7,7.63,RU,2022-07-12 19:54:55
